TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
CORREDERA;1;2500;NOGAL;C.NG;900;545,139;711,864;591,159;591,159;711,864;783,05
CORREDERA;1;2500;NOGAL;C.NG;1000;559,586;744,836;610,719;610,719;744,836;819,32
CORREDERA;1;2500;NOGAL;C.NG;1100;605,205;829,596;668,244;668,244;829,596;912,556
CORREDERA;1;2500;NOGAL;C.NG;1200;620,665;865,455;689,435;689,435;865,455;952,001
CORREDERA;1;2500;NOGAL;C.NG;1300;657,485;922,674;731,986;731,986;922,674;1014,941
CORREDERA;1;2500;NOGAL;C.NG;1400;672,945;958,533;753,177;753,177;958,533;1054,386
CORREDERA;1;2500;NOGAL;C.NG;1500;688,405;994,393;774,368;774,368;994,393;1093,832
CORREDERA;1;2700;ESPECIAL;ESP;600;541,638;700,262;586,201;586,201;700,262;770,288
CORREDERA;1;2700;ESPECIAL;ESP;700;560,495;745,555;612,485;612,485;745,555;820,111
CORREDERA;1;2700;ESPECIAL;ESP;800;579,352;790,849;638,768;638,768;790,849;869,934
CORREDERA;1;2700;ESPECIAL;ESP;900;613,03;850,966;679,874;679,874;850,966;936,063
CORREDERA;1;2700;ESPECIAL;ESP;1000;631,886;896,26;706,158;706,158;896,26;985,886
CORREDERA;1;2700;ESPECIAL;ESP;1100;664,108;954,919;745,807;745,807;954,919;1050,411
CORREDERA;1;2700;ESPECIAL;ESP;1200;682,964;1000,212;772,091;772,091;1000,212;1100,233
CORREDERA;1;2700;ESPECIAL;ESP;1300;727,453;1071,139;824,006;824,006;1071,139;1178,253
CORREDERA;1;2700;ESPECIAL;ESP;1400;746,31;1116,433;850,29;850,29;1116,433;1228,076
CORREDERA;1;2700;ESPECIAL;ESP;1500;761,339;1157,899;872,747;872,747;1157,899;1273,689
CORREDERA;1;2500;ESPECIAL;ESP;600;510,572;643,952;547,388;547,388;643,952;708,347
CORREDERA;1;2500;ESPECIAL;ESP;700;527,18;682,79;570,133;570,133;682,79;751,069
CORREDERA;1;2500;ESPECIAL;ESP;800;543,79;721,63;592,878;592,878;721,63;793,793
CORREDERA;1;2500;ESPECIAL;ESP;900;575,22;775,29;630,444;630,444;775,29;852,819
CORREDERA;1;2500;ESPECIAL;ESP;1000;591,829;814,129;653,189;653,189;814,129;895,542
CORREDERA;1;2500;ESPECIAL;ESP;1100;645,844;915,113;721,49;721,49;915,113;1006,624
CORREDERA;1;2500;ESPECIAL;ESP;1200;663,667;957,415;746,191;746,191;957,415;1053,157
CORREDERA;1;2500;ESPECIAL;ESP;1300;707,124;1025,351;796,524;796,524;1025,351;1127,886
CORREDERA;1;2500;ESPECIAL;ESP;1400;724,948;1067,653;821,225;821,225;1067,653;1174,418
CORREDERA;1;2500;ESPECIAL;ESP;1500;739,097;1106,282;842,252;842,252;1106,282;1216,91
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;500;334,559;466,756;371,705;371,705;466,756;513,432
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;1000;404,545;624,856;466,438;466,438;624,856;687,342
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;1500;483,114;813,581;575,954;575,954;813,581;894,939
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;500;308,809;339,489;339,489;339,489;339,489;373,438
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;1000;371,164;422,298;422,298;422,298;422,298;464,528
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;1500;464,451;550,414;550,414;550,414;550,414;605,455
FIJO;2;2700;BLANCO MATE;L.BM03;500;334,559;466,756;371,705;371,705;466,756;513,432
FIJO;2;2700;BLANCO MATE;L.BM03;1000;404,545;624,856;466,438;466,438;624,856;687,342
FIJO;2;2700;BLANCO MATE;L.BM03;1500;483,114;813,581;575,954;575,954;813,581;894,939
FIJO;2;2500;BLANCO MATE;L.BM03;500;334,559;339,489;339,489;339,489;339,489;373,438
FIJO;2;2500;BLANCO MATE;L.BM03;1000;404,545;422,298;422,298;422,298;422,298;464,528
FIJO;2;2500;BLANCO MATE;L.BM03;1500;483,114;550,414;550,414;550,414;550,414;605,455
FIJO;2;2700;CORTEN;L.C;500;334,559;466,756;371,705;371,705;466,756;513,432
FIJO;2;2700;CORTEN;L.C;1000;404,545;624,856;466,438;466,438;624,856;687,342
FIJO;2;2700;CORTEN;L.C;1500;483,114;813,581;575,954;575,954;813,581;894,939
FIJO;2;2500;CORTEN;L.C;500;334,559;339,489;339,489;339,489;339,489;373,438
FIJO;2;2500;CORTEN;L.C;1000;404,545;422,298;422,298;422,298;422,298;464,528
FIJO;2;2500;CORTEN;L.C;1500;483,114;550,414;550,414;550,414;550,414;605,455
FIJO;2;2700;ROBLE;C.RB;500;386,015;518,201;423,151;423,151;518,201;570,021
FIJO;2;2700;ROBLE;C.RB;1000;456,719;677,03;518,612;518,612;677,03;744,733
FIJO;2;2700;ROBLE;C.RB;1500;535,781;866,248;628,621;628,621;866,248;952,873
FIJO;2;2500;ROBLE;C.RB;500;359,67;470,82;390,35;390,35;470,82;517,902
FIJO;2;2500;ROBLE;C.RB;1000;422,737;607,987;473,87;473,87;607,987;668,786
FIJO;2;2500;ROBLE;C.RB;1500;516,517;822,505;602,48;602,48;822,505;904,756
FIJO;2;2700;NOGAL;C.NG;500;391,129;523,316;428,265;428,265;523,316;575,648
FIJO;2;2700;NOGAL;C.NG;1000;462,947;683,258;524,84;524,84;683,258;751,584
FIJO;2;2700;NOGAL;C.NG;1500;542,98;873,447;635,82;635,82;873,447;960,792
FIJO;2;2500;NOGAL;C.NG;500;364,478;475,628;395,158;395,158;475,628;523,191
FIJO;2;2500;NOGAL;C.NG;1000;428,65;613,9;479,783;479,783;613,9;675,29
FIJO;2;2500;NOGAL;C.NG;1500;523,402;829,389;609,364;609,364;829,389;912,328
FIJO;2;2700;NOGAL;ESP;500;401,471;560,107;446,046;446,046;560,107;616,118
FIJO;2;2700;NOGAL;ESP;1000;485,454;749,827;559,726;559,726;749,827;824,81
FIJO;2;2700;NOGAL;ESP;1500;579,737;976,297;691,145;691,145;976,297;1073,927
FIJO;2;2500;NOGAL;ESP;500;370,571;407,387;407,387;407,387;407,387;448,126
FIJO;2;2500;NOGAL;ESP;1000;445,397;506,758;506,758;506,758;506,758;557,434
