TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
FIJO;02;2700;ESPECIAL;ESP;1000;466,672;720,816;538,069;538,069;720,816;792,897
FIJO;02;2700;ESPECIAL;ESP;1500;557,305;938,523;664,403;664,403;938,523;1032,375
FIJO;02;2500;ESPECIAL;ESP;500;356,233;391,624;391,624;391,624;391,624;430,787
FIJO;02;2500;ESPECIAL;ESP;1000;428,163;487,151;487,151;487,151;487,151;535,866
FIJO;02;2500;ESPECIAL;ESP;1500;535,777;634,941;634,941;634,941;634,941;698,435
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;600;559,26;697,884;598,204;598,204;697,884;767,673
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;800;576,079;737,807;621,514;621,514;737,807;811,587
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;700;592,898;777,73;644,824;644,824;777,73;855,502
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;900;609,716;817,653;668,133;668,133;817,653;899,418
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;1000;626,535;857,575;691,443;691,443;857,575;943,333
ABATIBLEMAG;05;2700;BLANCO MATE;L.BM03;1100;643,354;859,044;714,753;714,753;859,044;944,948
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;600;529,223;645,786;561,397;561,397;645,786;710,365
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;800;544,078;680,068;581,614;581,614;680,068;748,075
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;700;558,933;714,35;601,831;601,831;714,35;785,786
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;900;573,787;748,631;622,048;622,048;748,631;823,495
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;1000;588,642;782,913;642,265;642,265;782,913;861,205
ABATIBLEMAG;05;2500;BLANCO MATE;L.BM03;1100;624,506;859,824;690,615;690,615;859,824;945,807
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;600;559,26;697,884;598,204;598,204;697,884;767,673
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;800;576,079;737,807;621,514;621,514;737,807;811,587
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;700;592,898;777,73;644,824;644,824;777,73;855,502
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;900;609,716;817,653;668,133;668,133;817,653;899,418
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;1000;626,535;857,575;691,443;691,443;857,575;943,333
ABATIBLEMAG;05;2700;NEGRO MATE TEXT;L.NMT;1100;643,354;859,044;714,753;714,753;859,044;944,948
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;600;529,223;645,786;561,397;561,397;645,786;710,365
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;800;544,078;680,068;581,614;581,614;680,068;748,075
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;700;558,933;714,35;601,831;601,831;714,35;785,786
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;900;573,787;748,631;622,048;622,048;748,631;823,495
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;1000;588,642;782,913;642,265;642,265;782,913;861,205
ABATIBLEMAG;05;2500;NEGRO MATE TEXT;L.NMT;1100;624,506;859,824;690,615;690,615;859,824;945,807
ABATIBLEMAG;05;2700;CORTEN;L.C;600;559,26;697,884;598,204;598,204;697,884;767,673
ABATIBLEMAG;05;2700;CORTEN;L.C;800;576,079;737,807;621,514;621,514;737,807;811,587
ABATIBLEMAG;05;2700;CORTEN;L.C;700;592,898;777,73;644,824;644,824;777,73;855,502
ABATIBLEMAG;05;2700;CORTEN;L.C;900;609,716;817,653;668,133;668,133;817,653;899,418
ABATIBLEMAG;05;2700;CORTEN;L.C;1000;626,535;857,575;691,443;691,443;857,575;943,333
ABATIBLEMAG;05;2700;CORTEN;L.C;1100;643,354;859,044;714,753;714,753;859,044;944,948
ABATIBLEMAG;05;2500;CORTEN;L.C;600;529,223;645,786;561,397;561,397;645,786;710,365
ABATIBLEMAG;05;2500;CORTEN;L.C;800;544,078;680,068;581,614;581,614;680,068;748,075
ABATIBLEMAG;05;2500;CORTEN;L.C;700;558,933;714,35;601,831;601,831;714,35;785,786
ABATIBLEMAG;05;2500;CORTEN;L.C;900;573,787;748,631;622,048;622,048;748,631;823,495
ABATIBLEMAG;05;2500;CORTEN;L.C;1000;588,642;782,913;642,265;642,265;782,913;861,205
ABATIBLEMAG;05;2500;CORTEN;L.C;1100;624,506;859,824;690,615;690,615;859,824;945,807
ABATIBLEMAG;05;2700;ROBLE;C.RB;600;661,977;800,602;700,922;700,922;800,602;880,662
ABATIBLEMAG;05;2700;ROBLE;C.RB;800;680,059;841,787;725,494;725,494;841,787;925,966
ABATIBLEMAG;05;2700;ROBLE;C.RB;700;698,141;882,973;750,066;750,066;882,973;971,27
ABATIBLEMAG;05;2700;ROBLE;C.RB;900;716,222;924,158;774,638;774,638;924,158;1016,574
ABATIBLEMAG;05;2700;ROBLE;C.RB;1000;734,303;965,343;799,21;799,21;965,343;1061,877
ABATIBLEMAG;05;2700;ROBLE;C.RB;1100;752,385;1006,529;823,783;823,783;1006,529;1107,182
ABATIBLEMAG;05;2500;ROBLE;C.RB;600;629,412;745,975;661,586;661,586;745,975;820,572
ABATIBLEMAG;05;2500;ROBLE;C.RB;800;645,529;781,52;683,066;683,066;781,52;859,672
ABATIBLEMAG;05;2500;ROBLE;C.RB;700;661,646;817,063;704,545;704,545;817,063;898,769
ABATIBLEMAG;05;2500;ROBLE;C.RB;900;677,763;852,608;726,024;726,024;852,608;937,868
ABATIBLEMAG;05;2500;ROBLE;C.RB;1000;693,88;888,151;747,504;747,504;888,151;976,967
ABATIBLEMAG;05;2500;ROBLE;C.RB;1100;731,007;966,326;797,116;797,116;966,326;1062,958
ABATIBLEMAG;05;2700;NOGAL;C.NG;600;679,212;817,836;718,156;718,156;817,836;899,62
ABATIBLEMAG;05;2700;NOGAL;C.NG;800;697,802;859,529;743,237;743,237;859,529;945,482
ABATIBLEMAG;05;2700;NOGAL;C.NG;700;716,391;901,223;768,317;768,317;901,223;991,346
ABATIBLEMAG;05;2700;NOGAL;C.NG;900;734,981;942,918;793,398;793,398;942,918;1037,209
ABATIBLEMAG;05;2700;NOGAL;C.NG;1000;753,572;984,612;818,479;818,479;984,612;1083,073
ABATIBLEMAG;05;2700;NOGAL;C.NG;1100;772,161;1026,305;843,559;843,559;1026,305;1128,936
ABATIBLEMAG;05;2500;NOGAL;C.NG;600;645,728;762,291;677,902;677,902;762,291;838,52
ABATIBLEMAG;05;2500;NOGAL;C.NG;800;662,353;798,343;699,889;699,889;798,343;878,177
ABATIBLEMAG;05;2500;NOGAL;C.NG;700;678,978;834,395;721,877;721,877;834,395;917,835
ABATIBLEMAG;05;2500;NOGAL;C.NG;900;695,604;870,448;743,865;743,865;870,448;957,494
ABATIBLEMAG;05;2500;NOGAL;C.NG;1000;712,229;906,5;765,852;765,852;906,5;997,15
ABATIBLEMAG;05;2500;NOGAL;C.NG;1100;749,863;985,182;815,972;815,972;985,182;1083,7
ABATIBLEMAG;05;2700;ESPECIAL;ESP;600;615,186;767,673;658,024;658,024;767,673;844,439
ABATIBLEMAG;05;2700;ESPECIAL;ESP;800;633,687;811,587;683,665;683,665;811,587;892,746
ABATIBLEMAG;05;2700;ESPECIAL;ESP;700;652,189;855,502;709,306;709,306;855,502;941,052
ABATIBLEMAG;05;2700;ESPECIAL;ESP;900;670,688;899,418;734,947;734,947;899,418;989,359
ABATIBLEMAG;05;2700;ESPECIAL;ESP;1000;689,189;943,333;760,586;760,586;943,333;1037,667
ABATIBLEMAG;05;2700;ESPECIAL;ESP;1100;707,69;944,948;786,228;786,228;944,948;1039,443
ABATIBLEMAG;05;2500;ESPECIAL;ESP;600;582,146;710,365;617,537;617,537;710,365;781,402
ABATIBLEMAG;05;2500;ESPECIAL;ESP;800;598,486;748,075;639,776;639,776;748,075;822,883
ABATIBLEMAG;05;2500;ESPECIAL;ESP;700;614,827;785,786;662,014;662,014;785,786;864,365
ABATIBLEMAG;05;2500;ESPECIAL;ESP;900;631,165;823,495;684,253;684,253;823,495;905,844
ABATIBLEMAG;05;2500;ESPECIAL;ESP;1000;647,506;861,205;706,491;706,491;861,205;947,325
ABATIBLEMAG;05;2500;ESPECIAL;ESP;1100;686,957;945,807;759,676;759,676;945,807;1040,388
ABATDOBMAG;06;2700;BLANCO MATE;L.BM03;1200;969,452;1246,7;1047,341;1047,341;1246,7;1371,37
ABATDOBMAG;06;2700;BLANCO MATE;L.BM03;1400;1003,496;1326,953;1094,366;1094,366;1326,953;1459,648
ABATDOBMAG;06;2700;BLANCO MATE;L.BM03;1600;1037,54;1407,204;1141,391;1141,391;1407,204;1547,925
ABATDOBMAG;06;2700;BLANCO MATE;L.BM03;1800;1071,584;1487,456;1188,416;1188,416;1487,456;1636,202
ABATDOBMAG;06;2700;BLANCO MATE;L.BM03;2000;1105,628;1567,708;1235,442;1235,442;1567,708;1724,479
ABATDOBMAG;06;2700;NEGRO MATE TEXT;L.NMT;1200;969,452;1246,7;1047,341;1047,341;1246,7;1371,37
ABATDOBMAG;06;2700;NEGRO MATE TEXT;L.NMT;1400;1003,496;1326,953;1094,366;1094,366;1326,953;1459,648
ABATDOBMAG;06;2700;NEGRO MATE TEXT;L.NMT;1600;1037,54;1407,204;1141,391;1141,391;1407,204;1547,925
ABATDOBMAG;06;2700;NEGRO MATE TEXT;L.NMT;1800;1071,584;1487,456;1188,416;1188,416;1487,456;1636,202
ABATDOBMAG;06;2700;NEGRO MATE TEXT;L.NMT;2000;1105,628;1567,708;1235,442;1235,442;1567,708;1724,479
ABATDOBMAG;06;2700;CORTEN;L.C;1200;969,452;1246,7;1047,341;1047,341;1246,7;1371,37
ABATDOBMAG;06;2700;CORTEN;L.C;1400;1003,496;1326,953;1094,366;1094,366;1326,953;1459,648
ABATDOBMAG;06;2700;CORTEN;L.C;1600;1037,54;1407,204;1141,391;1141,391;1407,204;1547,925
ABATDOBMAG;06;2700;CORTEN;L.C;1800;1071,584;1487,456;1188,416;1188,416;1487,456;1636,202
ABATDOBMAG;06;2700;CORTEN;L.C;2000;1105,628;1567,708;1235,442;1235,442;1567,708;1724,479
ABATDOBMAG;06;2700;ROBLE;C.RB;1200;1152,965;1430,213;1230,853;1230,853;1430,213;1573,235
ABATDOBMAG;06;2700;ROBLE;C.RB;1400;1189,545;1513;1280,414;1280,414;1513;1664,301
ABATDOBMAG;06;2700;ROBLE;C.RB;1600;1226,124;1595,789;1329,976;1329,976;1595,789;1755,368
ABATDOBMAG;06;2700;ROBLE;C.RB;1800;1262,704;1678,576;1379,538;1379,538;1678,576;1846,435
ABATDOBMAG;06;2700;ROBLE;C.RB;2000;1299,284;1761,364;1429,098;1429,098;1761,364;1937,501
ABATDOBMAG;06;2700;NOGAL;C.NG;1200;1178,796;1456,045;1256,686;1256,686;1456,045;1601,65
ABATDOBMAG;06;2700;NOGAL;C.NG;1400;1216,415;1539,872;1307,285;1307,285;1539,872;1693,859
ABATDOBMAG;06;2700;NOGAL;C.NG;1600;1254,034;1623,699;1357,886;1357,886;1623,699;1786,069
ABATDOBMAG;06;2700;NOGAL;C.NG;1800;1291,653;1707,526;1408,486;1408,486;1707,526;1878,278
ABATDOBMAG;06;2700;NOGAL;C.NG;2000;1329,272;1791,353;1459,087;1459,087;1791,353;1970,488
ABATDOBMAG;06;2700;ESPECIAL;ESP;1200;1066,397;1371,37;1152,075;1152,075;1371,37;1508,508
ABATDOBMAG;06;2700;ESPECIAL;ESP;1400;1103,846;1459,648;1203,803;1203,803;1459,648;1605,612
